block_id	hash	time	size	weight	version	lock_time	is_coinbase	has_witness	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee	fee_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total
71437	e13e9d8784e5dd9548ab9795739694d230edca3d071a976298bbc80573ac1aa6	2010-08-01 00:03:20	134	536	1	0	1	0	1	1	0	0	5001000000	3.0006	0	0	0	0	0	0	0
71437	91790e421a2b11685cc1cfe57eaf5a9a96f35229b35249f637051a463383ce35	2010-08-01 00:03:20	259	1036	1	0	0	0	1	2	926000000	0.5556	925000000	0.555	1000000	0.0006	3861000	0.0023	965251	0.0006	0
71438	d9d7b6cf87e15252a6efa4a7144753fe0474c92e2d1aef27db26be9c66b3ec15	2010-08-01 00:04:21	135	540	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71439	d73074abf63d0a3c8450c85d1e2134256289524b62a3a8a31446bf40f73aa023	2010-08-01 00:04:53	135	540	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71439	18419564f84f3c94b66936a4df0571cc449b1111d9f0fc83b8da16a67303a41a	2010-08-01 00:04:53	225	900	1	0	0	0	1	1	100000000	0.06	100000000	0.06	0	0	0	0	0	0	7.8436921296296
71440	d7af316d84a4bf2acd284b21e5e961470435eb115912608bcec1313b8f9c528b	2010-08-01 00:14:58	135	540	1	0	1	0	1	1	0	0	5001000000	3.0006	0	0	0	0	0	0	0
71440	98ec4cf060c215a17d8e3f72da77ea74ad50799e188010f8de5db8d0acf71ee3	2010-08-01 00:14:58	159	636	1	0	0	0	1	1	5000000000	3	5000000000	3	0	0	0	0	0	0	41.632523148148
71440	fc382fc06f0705419c2239ca3d5379fb4fc031ec00147f804435d07bbd60d0cf	2010-08-01 00:14:58	258	1032	1	0	0	0	1	2	920000000	0.552	919000000	0.5514	1000000	0.0006	3875970	0.0023	968992	0.0006	0
71441	ee3771a412fe3b6008759281524f4290b550bab202475f3b7637a42afb0f3617	2010-08-01 00:19:16	135	540	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71442	a3e5d10e1a82a284bc65c6e037bd57f25db1ff41c99f956f82c68152c99b58f8	2010-08-01 00:19:50	135	540	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71443	c806ec3b267921a724f402dd44e1d738a415e43351fd3378c83defdbd46fe587	2010-08-01 00:22:20	135	540	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71444	07ad735ce5df5718da03b446c560efcb7591f80838e0b36a6ae701e798d16025	2010-08-01 00:32:27	135	540	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71444	24bcaa9efddb7bd3dec8c89348549fa2b7571706858697161d8307c0c33f6c83	2010-08-01 00:32:27	225	900	1	0	0	0	1	1	20400000000	12.24	20400000000	12.24	0	0	0	0	0	0	1597.8394444444
71444	8413b7e296e5748f957ed8cff013d87e2b62452c68326e32313e0726780517c7	2010-08-01 00:32:27	258	1032	1	0	0	0	1	2	5000000000	3	5000000000	3	0	0	0	0	0	0	245.2025462963
71445	f2188095015fb0f3d21b99035f26dc5a6e12cea654d0e13f9e038c513396276b	2010-08-01 00:43:33	135	540	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71446	e8de0bb646f471528a1d78c588f167d77e36b30e1897bf8f12508fe2f90ef806	2010-08-01 01:05:08	135	540	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71446	2105fa03712a0b960e706f4681dcb841674b274e59370bb98c8f143346f7e51f	2010-08-01 01:05:08	4601	18404	1	0	0	0	40	1	200000000000	120	200000000000	120	0	0	0	0	0	0	492419.12905093
71447	8d6e3858c41dbb035b657528c3c87a5eb2c9d33a69aad5f089b4274d17bc8da9	2010-08-01 01:06:42	135	540	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71448	7baec89e4b6f2eafa3a9055a9e76c3b2427ef35fc49d378f874df5bc5493724f	2010-08-01 01:17:35	135	540	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71448	6fa4e0f30b5fdf74080be5e982e23596134467cb8aa82fa152391fb52035a2b1	2010-08-01 01:17:35	728	2912	1	0	0	0	6	1	30000000000	18	30000000000	18	0	0	0	0	0	0	27407.877893519
71449	ededc59a4a1984978813f4b525ce31a461d4687dc838fbcfb2c22ab12ccba37b	2010-08-01 01:17:56	134	536	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71450	34e6dcda8eacd5edec6efd8f8474716327c85d31d39162ab47f5d51336bf00ba	2010-08-01 01:19:12	135	540	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71451	c7f3c1f318f3a35bee1a491a6dfed660ea4f47f5beecc19601317aa49b0d9608	2010-08-01 01:29:13	135	540	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71452	9bf87277a236b7aeb78522d9b581abcb8b64eb417cd089ecf6dc0352faabffa7	2010-08-01 01:38:06	135	540	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71452	9847fc3dd3f8d6e937e3c18b5a2c3359a031538887694e140c4c827afbe99f77	2010-08-01 01:38:06	158	632	1	0	0	0	1	1	5000000000	3	5000000000	3	0	0	0	0	0	0	30.174189814815
71453	b212c4c1c270f2532db296694fc74eb22f837795d1f34b0b1e18044fe2fd23e5	2010-08-01 01:50:16	135	540	1	0	1	0	1	1	0	0	5000000000	3	0	0	0	0	0	0	0
71453	c889f279efa649c9504dd152d8dda4fe811b59c5824f6d804d74f39a0a7e9a49	2010-08-01 01:50:16	584	2336	1	0	0	0	3	1	706000000	0.4236	706000000	0.4236	0	0	0	0	0	0	2.3808895833333
