address	balance
1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr	1000926280442
bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq	1000174073770
bc1qtef0p08lputg4qazhx2md43ynhc9kp20pn297qnz68068d9z48asmemanj	1000079776165
1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV	1000007740276
bc1qe75775tzuvspl59cw77ycc472jl0sgue69x3up	1000004355257
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec	1000003454076
1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT	1000002520837
35WHp4Hid61peyH4tuhNunwRj2gtNB41Lo	1000001733182
1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm	1000001625412
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt	1000001251028
12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me	1000001132515
1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt	1000001038295
1CPaziTqeEixPoSFtJxu74uDGbpEAotZom	1000001028219
1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK	1000000417651
bc1q4srun4yspqem2pqgk47eq9jspcht3fmyrmfdeu	1000000000000
bc1qvy0sp8cdj3cv2wwh05scucxw6vxqpdlhfjvqn8	1000000000000
bc1qe39l9l84sa44r9j2jjkgdc7p4ltj3sracd932k	1000000000000
bc1q5nfww5jn5k4ghg7dpa4gy85x7uu3l4g0m0re76	1000000000000
bc1qm6q8tgml3cr9gpx63a5jqtj2dxlsyz4q3ghjlf	1000000000000
1EU2pMence1UfifCco2UHJCdoqorAtpT7	999999964767
bc1qlkdlchlylfdkspvevnlqqlmt4l222hwva2z3n7	990597138233
bc1qg6kqkkaexnxpvle8w3zy5j7w4k9uz5rqmrx5lw	990496470901
bc1qqdykm85ycxjqjh5hrkwmewts02mm6ku5rlck3m	990434110371
bc1qgc5h9vz0zp4cmlxuw0h6jgryetq08e4twen03f	990345878492
bc1qxv55wuzz4qsfgss3uq2zwg5y88d7qv5hg67d2d	990135875227
bc1qmjpguunz9lc7h6zf533wtjc70ync94ptnrjqmk	990064196062
bc1qyr9dsfyst3epqycghpxshfmgy8qfzadfhp8suk	990045178622
bc1q8qg2eazryu9as20k3hveuvz43thp200g7nw7qy	990009834101
bc1q4ffskt6879l4ewffrrflpykvphshl9la4q037h	989536977012
18EHwGnuixJF1FsVtRfgPDQ7uPCTAX4rWS	988699278828
1BMi633XQ8jt45Tb5EvZ4xdZHb2GzxKSfb	987268314284
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc	987268314284
13nwifHUz5ZfHuQhk5ETJ4BhmqbuQdvTFp	987268314284
1Djs2VyBVr6MYNcGVaHAr8B3N1mViS5yoo	987268314284
18Ayw3caz2xGDhTfz1nJxLw1NURPtBNJnn	987268314284
18saWjMCchDTGWunefuDJSWNdz4p6KtfBL	987268314284
14KzHoS5dXbhy2kBevNKLz2ZMtjaqHkKWZ	987268314284
19om4Guv9QmVesS7AewMUyE5JUJ9H7xwNN	987268314284
1Dt4Q2ofKUtHwvjN45tAUfikNBfJrDERcZ	987268314284
15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj	987268314284
17SAATrqavNbzmqBwqxzZc7rK6u9Rmi9hE	987268314284
12Gjyd3MMR7Dj2KwCxw71wwzZXVp2xy8nK	987268314284
1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi	987268314284
1E1SKgxgYJFXzaLxgat2FNSnwWeKz1U15N	987268314284
1PL2cmmMLmGGDtqaSZJY8DR1iKJaziEPJv	987268314284
18oRfGoPpb6bkQdACnD6dVYWceeWURK5R6	987268314284
1C7u4Zqu6ZZRsiKsFMYVDvNLfCwsGrbeTq	987268314284
1MYv4C4hZ7hC5sbHrPkzvmNoozQgnHKeAU	987268314284
35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6	987212530285
3265tcUcp8dBhBBwp4rKN3iyUptuHkzMq7	975856208281
39WQqCosC8ZD4S9XBPHRnnRUeVRvNctnnm	975054013735
1KLay1g7rZxAiotuDhGy5YizdXSpqkFxQ9	972368871900
1F3Cpgben5uRAMptnPRL9coAbKp9YmWqfb	971199020000
19iqYbeATe4RxghQZJnYVFU4mjUUu76EA6	963709885209
bc1qsm3kjcmp63jsuyrqh58kc6k4ydpactjy6r7a6f	963144501696
1gvH7pGPrEBNjqmwYS8UDhjFQkyqkKCLE	962466362865
bc1qajh7jfy44sswutqlwj2tz9wcejpxrgflc8penw	949999911442
1P9fAFAsSLRmMu2P7wZ5CXDPRfLSWTy9N8	942478245190
1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT	926001634910
bc1qh4cpaydaqlzez8ekkasm3ygj4us7gwxsghh047	911190572586
bc1q78wmm8xnhveklsparpeq6drlg9wlq4lyahkqfp	909899910895
3GBEtDxApUJ8KSMgZA89ydkZ4pRz8Nm2jh	904018379214
bc1q7wyf8aac7p5aqp3e499mtyngmx57rpal9wdug9	901139526683
3DwVjwVeJa9Z5Pu15WHNfKcDxY5tFUGfdx	900000022642
1J1F3U7gHrCjsEsRimDJ3oYBiV24wA8FuV	900000000000
167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg	899900606337
3CJ3jtShzRgfVS3DPnXynkpXSD9pGY1FEE	875999969371
36NkTqCAApfRJBKicQaqrdKs29g6hyE4LS	871079989505
3ETUmNhL2JuCFFVNSpk8Bqx2eorxyP9FVh	866271792268
bc1qhszrd0ef5we6mg3r7xgl05g8rx06xll8yrwmjh	861105167915
19rxQRpXBMQcbsYcxo6w9xL54o1sXDeXdA	853949753190
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h	851504641971
1FzyryYKneS4wTrKKZUyP3oJXkiyRsMYfr	850020446543
bc1qdhvtwg0eealy5d2spua2a89sq05ydvtgjy4uau	850000000000
1Le1X8LJb4VkFsfktiUY7V7wMRhniu5Xgn	817612483626
15URsTiy1ksoMMV7DuEi9hvSqHgqobAtKa	817534526703
16dyizLarM2N4UjGaEFPESNmJC5vEALtZX	817534525792
16BiUbH8yxFmCJs4ArtyTgHKfXQFvkvPNr	817534525792
1Gtpfqoo8stQw2E4vCbZZbJBBZvYzzCeRy	817534525792
1Fjom9b9wvp3HPi2ZS9hqXQwJpXcjumSYJ	817534525792
12yePmcVhMzzHYwh4BpVF3Cm1bYL9mqyKc	817534525792
1BbSZNNhoBUCFGMfnscBDXf7PH1takoMga	817534525792
1Eqj1APg1dkcPH7CmHJ6SzRwtJRLpxtBFA	817251336484
bc1qqgqm9483vcnxehygx99hmh42mzrat4v692w5tfuzfgr07def6d3stlrz06	815912313024
1QHVStz4ALAF8LFokjLy9QFaZKUFdraxeo	814999985034
19F4xZNBxtPAdMqFudr2LDH5efeeUYF21x	813679003220
157ZXCYfK6NqBiFLkoLDt3PN8KyE8xdTu5	811600520764
1LjUYdf8mQk9DsrVvuPYeHyJKQq5V1MLsT	802202559302
13TM7PLtf1Ujo9t9pk9RSyrv1ts119PNK5	802202559302
13AiVabLoTcYTdaFcFYtpFFmCFagjiUwE2	802202559302
14ACC7ftHQS6guKJi3FCTEyCw94dHnRZjJ	802202559302
1GaSQcWg3R98qf5sTWetwjjMh6ehxj25Gp	802202559302
1MH8s3qc4F2GZNod1R43qeysSB2ssZCXb	802202559302
19yLTkx4jggSnjdiGkkhNwTjZUyY5T8kEA	802202559302
1GBzbXJmcMjnDyTW2yKJFfeXUGicG1zpC4	802202559302
1GcPTDtNXuPghJU5qSGvkPQ99nhWrbQaYR	802202559302
1CsAkAsjTTRAuRw39fRQj7pxKn3fjEuYsT	802202559302
12T7nyMrAnd13UAMYCCJZ8Fw7PpMGPRFsi	802202559302
18zuLTKQnLjp987LdxuYvjekYnNAvXif2b	802070182731
3B1HV46gEobDSpS5uXkUqtuLEPZiEAHCws	800434565303
3PWn1AGqo8HWH8mXSsxx1Ytk87zMAAziFU	800002939740
198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi	800000427903
18f6y4uWnLd7VPzfR2c1dMboihghXYHRH3	800000203224
1Lan1sQzYGViDZskUFmnitJvfejn2jYdNS	800000038507
17RmGC3i2dASQai3mP9iJLX3ZD9TBm2YQV	800000016486
15mxk4fKk9ggQ4fikNWKpasahsdXZNdVu2	800000014599
1HGdi2AtuvBUcdTFe62sKd7ZAFzoG7iQLb	800000009580
1Fn4FSiHFr9SgbQ3ccsybN9f3RF1omst4x	800000009580
12US3aeNibsxe7Lhascm4AmvGiTxwSdD4X	800000009033
17GyU83L63BtxtpDgv8LmhhtmvcrXbfVt1	800000009033
17J26KSDtNFPAUhCMwjcRNWhneMsXS75Ba	800000009033
1FDzP5vQGMhCzeb9nH4AcUDnUbcHS22BMZ	800000009033
1Dr1pZDgpowHDGJrUNTithDL33TdriFMzE	800000008716
1N4yKFsFPjjoJyo3BAKUWpcs3SUghfgJkH	800000008489
1LRXrhZRLVTjGCPFphPsXZfeHesRigm59r	800000008486
1NJdKoBkKQNg6aYL9HTKyQ5SgfjZQDz3y3	800000008486
1FMbcnYvvccZ6hR324cFRpn1QX9TCkqtAe	800000008486
1KoiNofDvcUrrVfxgqpRZixWXNXo6d2kfQ	800000008486
15QFkJUWFZ6QRpTrzUitH2Egyf1JTngVgV	800000008486
1GBWcQuY5aD6e2zrbdb38j7pizVr2wcJnC	800000008486
1DdxS8CheskxKAPPbG8Uq4Qts8kS4x1tt2	800000008486
16H2Fe9MgxZ1jXW3TaXbgWh3SJfwyxQUTp	800000008486
12mJZGPCWf5C2ap2dUdJiuGr8eWAvi6E5M	800000008486
1T7m8nSs5Yh3YuLNoHPb5ehwN3LRVEchn	800000008256
1NQWCZqRYvANz3iX1Wnczpm277VEYvcAee	800000008256
1HG6NbWmJjjSE1Z6oPetWG3nnKrQxgBN3a	800000008192
1FrfmxAhYRNU9ebotDHP9FqLbe54QZVcfi	800000007939
1FtHBKrYkDchMA1pwRTpYZ77TpfwSgh6iF	800000007886
1JeTiSWo8pYWcNaTH4c3CfheAwVDYRoy1Q	800000007164
17wADqWPK8wZfpRmPkauviq2VDBmhm82rM	800000007111
1NJdqNoC7uPh7MqQhyEynRn9htstEELZDn	800000006564
1EUgoa25tkqMUYh7PXzDfqqNP5PtHKZmct	800000006564
1AfHER73jneZAEAHNiz5dBKnrzeWcMJM5i	800000006564
15TbabdR3FKJMpRxDeEetezWKGJwdGXbTY	800000006017
